Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
13052 Greenwood Av N,Auto Fire Alarm,11/13/2015 11:32:00 PM +0000,47.723702,-122.355548,"(47.723702, -122.355548)",F150130429
3801 Beacon Av S,Auto Fire Alarm,11/13/2015 10:41:00 PM +0000,47.569313,-122.30733,"(47.569313, -122.30733)",F150130414
1123 23rd Av,Auto Fire Alarm,11/13/2015 07:34:00 PM +0000,47.611424,-122.302746,"(47.611424, -122.302746)",F150130340
6700 Roosevelt Way Ne,Auto Fire Alarm,11/13/2015 07:01:00 PM +0000,47.677283,-122.317383,"(47.677283, -122.317383)",F150130321
2030 8th Av,Auto Fire Alarm,11/13/2015 05:03:00 PM +0000,47.615949,-122.336979,"(47.615949, -122.336979)",F150130278
12508 Lake City Way Ne,Auto Fire Alarm,11/13/2015 03:23:00 PM +0000,47.719343,-122.295195,"(47.719343, -122.295195)",F150130255
620 N 34th St,Auto Fire Alarm,11/13/2015 03:23:00 PM +0000,47.649775,-122.350985,"(47.649775, -122.350985)",F150130254
3429 45th Av Sw,Auto Fire Alarm,11/13/2015 03:07:00 PM +0000,47.573583,-122.389421,"(47.573583, -122.389421)",F150130250
3626 Ne 45th St,Auto Fire Alarm,11/13/2015 01:59:00 PM +0000,47.661144,-122.288961,"(47.661144, -122.288961)",F150130238
3931 Brooklyn Av Ne,Auto Fire Alarm,11/13/2015 01:45:00 PM +0000,47.65476,-122.314457,"(47.65476, -122.314457)",F150130235
4208 Rainier Av S,Auto Fire Alarm,11/13/2015 01:09:00 PM +0000,47.56543,-122.288552,"(47.56543, -122.288552)",F150130226
4744 University Way Ne,Auto Fire Alarm,11/13/2015 07:45:00 AM +0000,47.663353,-122.313098,"(47.663353, -122.313098)",F150130178
4040 7th Av Ne,Auto Fire Alarm,11/13/2015 03:59:00 AM +0000,47.656213,-122.320852,"(47.656213, -122.320852)",F150130116
2121 8th Av,Auto Fire Alarm,11/13/2015 03:31:00 AM +0000,47.616647,-122.33816,"(47.616647, -122.33816)",F150130103
707 N 130th St,Auto Fire Alarm,11/13/2015 02:53:00 AM +0000,47.723223,-122.350289,"(47.723223, -122.350289)",F150130091
4602 14th Av Nw,Auto Fire Alarm,11/13/2015 01:37:00 AM +0000,47.662209,-122.373595,"(47.662209, -122.373595)",F150130055
144 Ne 54th St,Auto Fire Alarm,11/13/2015 01:29:00 AM +0000,47.667901,-122.327665,"(47.667901, -122.327665)",F150130051
11011 Greenwood Av N,Auto Fire Alarm,11/12/2015 11:07:00 PM +0000,47.708806,-122.355482,"(47.708806, -122.355482)",F150130002
721 S Lane St,Auto Fire Alarm,11/12/2015 10:46:00 PM +0000,47.596672,-122.32348,"(47.596672, -122.32348)",F150129997
99 Union St,Auto Fire Alarm,11/12/2015 10:03:00 PM +0000,47.607828,-122.339105,"(47.607828, -122.339105)",F150129981
1501 Pike Pl,Auto Fire Alarm,11/12/2015 09:20:00 PM +0000,47.608629,-122.340472,"(47.608629, -122.340472)",F150129964
811 Maynard Av S,Auto Fire Alarm,11/12/2015 08:34:00 PM +0000,47.595741,-122.325068,"(47.595741, -122.325068)",F150129942
11045 8th Av Ne,Auto Fire Alarm,11/12/2015 08:07:00 PM +0000,47.708899,-122.320568,"(47.708899, -122.320568)",F150129933
500 17th Av,Auto Fire Alarm,11/12/2015 01:41:00 PM +0000,47.606176,-122.310249,"(47.606176, -122.310249)",F150129646
11725 15th Av Ne,Auto Fire Alarm,11/12/2015 01:14:00 PM +0000,47.714518,-122.312507,"(47.714518, -122.312507)",F150129642
11050 8th Av Ne,Auto Fire Alarm,11/12/2015 10:31:00 AM +0000,47.708935,-122.320569,"(47.708935, -122.320569)",F150129627
515 Madison St,Auto Fire Alarm,11/12/2015 09:28:00 AM +0000,47.606624,-122.331628,"(47.606624, -122.331628)",F150129617
1415 2nd Av,Auto Fire Alarm,11/12/2015 08:30:00 AM +0000,47.608434,-122.338125,"(47.608434, -122.338125)",F150129602
1301 6th Av,Auto Fire Alarm,11/12/2015 06:20:00 AM +0000,47.60916,-122.33264,"(47.60916, -122.33264)",F150129571
400 Ne 45th St,Auto Fire Alarm,11/12/2015 05:48:00 AM +0000,47.661339,-122.324036,"(47.661339, -122.324036)",F150129565
1711 23rd Av S,Auto Fire Alarm,11/12/2015 03:40:00 AM +0000,47.58821,-122.302596,"(47.58821, -122.302596)",F150129535
86 Pine St,Auto Fire Alarm,11/12/2015 02:06:00 AM +0000,47.609638,-122.341346,"(47.609638, -122.341346)",F150129501
1900 5th Av,Auto Fire Alarm,11/12/2015 01:15:00 AM +0000,47.612958,-122.337873,"(47.612958, -122.337873)",F150129477
1900 5th Av,Auto Fire Alarm,11/12/2015 01:04:00 AM +0000,47.612958,-122.337873,"(47.612958, -122.337873)",F150129471
3235 16th Av Sw,Auto Fire Alarm,11/12/2015 12:33:00 AM +0000,47.574826,-122.355301,"(47.574826, -122.355301)",F150129459
1550 N 115th St,Auto Fire Alarm,11/12/2015 12:13:00 AM +0000,47.712305,-122.339596,"(47.712305, -122.339596)",F150129454
6361 1st Av S,Auto Fire Alarm,11/11/2015 10:54:00 PM +0000,47.545392,-122.334464,"(47.545392, -122.334464)",F150129435
1300 1st Av,Auto Fire Alarm,11/11/2015 10:39:00 PM +0000,47.606835,-122.338197,"(47.606835, -122.338197)",F150129432
437 NE 72ND ST,Auto Fire Alarm,11/11/2015 10:30:00 PM +0000,47.680651,-122.323999,"(47.680651, -122.323999)",F150129430
221 18th Av S,Auto Fire Alarm,11/11/2015 08:59:00 PM +0000,47.600659,-122.308964,"(47.600659, -122.308964)",F150129408
1000 Lenora St,Auto Fire Alarm,11/11/2015 07:47:00 PM +0000,47.617818,-122.336177,"(47.617818, -122.336177)",F150129385
9730 3rd Av Ne,Auto Fire Alarm,11/11/2015 07:26:00 PM +0000,47.699374,-122.32577,"(47.699374, -122.32577)",F150129383
13537 Aurora Av N,Auto Fire Alarm,11/11/2015 06:03:00 PM +0000,47.727191,-122.345021,"(47.727191, -122.345021)",F150129362
4545 42nd Av Sw,Auto Fire Alarm,11/11/2015 05:22:00 PM +0000,47.562472,-122.385455,"(47.562472, -122.385455)",F150129347
1600 7th Av,Auto Fire Alarm,11/11/2015 05:20:00 PM +0000,47.6126,-122.334262,"(47.6126, -122.334262)",F150129345
107 W Bertona St,Auto Fire Alarm,11/11/2015 04:44:00 PM +0000,47.650427,-122.359146,"(47.650427, -122.359146)",F150129337
500 17th Av,Auto Fire Alarm,11/11/2015 04:32:00 PM +0000,47.606176,-122.310249,"(47.606176, -122.310249)",F150129335
1221 1st Av,Auto Fire Alarm,11/11/2015 01:10:00 PM +0000,47.606268,-122.337677,"(47.606268, -122.337677)",F150129309
901 Fairview Av N,Auto Fire Alarm,11/11/2015 11:57:00 AM +0000,47.627324,-122.332667,"(47.627324, -122.332667)",F150129302
1008 Western Av,Auto Fire Alarm,11/11/2015 07:36:00 AM +0000,47.604281,-122.337396,"(47.604281, -122.337396)",F150129263
8610 Aurora Av N,Auto Fire Alarm,11/11/2015 03:19:00 AM +0000,47.691354,-122.344532,"(47.691354, -122.344532)",F150129208
8201 Aurora Av N,Auto Fire Alarm,11/11/2015 12:44:00 AM +0000,47.688389,-122.344511,"(47.688389, -122.344511)",F150129141
2820 S Orcas St,Auto Fire Alarm,11/10/2015 10:52:00 PM +0000,47.550883,-122.296605,"(47.550883, -122.296605)",F150129114
301 21st Av E,Auto Fire Alarm,11/10/2015 09:34:00 PM +0000,47.621388,-122.304719,"(47.621388, -122.304719)",F150129073
300 Lakeside Av S,Auto Fire Alarm,11/10/2015 09:06:00 PM +0000,47.599822,-122.286137,"(47.599822, -122.286137)",F150129063
10321 Meridian Av N,Auto Fire Alarm,11/10/2015 08:49:00 PM +0000,47.703403,-122.333906,"(47.703403, -122.333906)",F150129056
420 Blanchard St,Auto Fire Alarm,11/10/2015 08:31:00 PM +0000,47.614736,-122.342459,"(47.614736, -122.342459)",F150129046
105 5th Av S,Auto Fire Alarm,11/10/2015 06:59:00 PM +0000,47.601643,-122.327656,"(47.601643, -122.327656)",F150128999
1136 S Albro Pl,Auto Fire Alarm,11/10/2015 06:25:00 PM +0000,47.545543,-122.31786,"(47.545543, -122.31786)",F150128986
1708 Lake Washington Blvd,Auto Fire Alarm,11/10/2015 04:19:00 PM +0000,47.616462,-122.281828,"(47.616462, -122.281828)",F150128950
221 1st Av W,Auto Fire Alarm,11/10/2015 02:44:00 PM +0000,47.620017,-122.358051,"(47.620017, -122.358051)",F150128917
3001 S Myrtle St,Auto Fire Alarm,11/10/2015 07:43:00 AM +0000,47.538902,-122.293225,"(47.538902, -122.293225)",F150128863
2524 Boyer Av E,Auto Fire Alarm,11/10/2015 05:46:00 AM +0000,47.641965,-122.314916,"(47.641965, -122.314916)",F150128842
2315 Ne 65th St,Auto Fire Alarm,11/10/2015 05:19:00 AM +0000,47.675775,-122.302579,"(47.675775, -122.302579)",F150128838
13725 32nd Av Ne,Auto Fire Alarm,11/10/2015 05:07:00 AM +0000,47.728365,-122.293639,"(47.728365, -122.293639)",F150128835
4750 21st Av Ne,Auto Fire Alarm,11/10/2015 01:46:00 AM +0000,47.663374,-122.305457,"(47.663374, -122.305457)",F150128751
322 W Ewing St,Auto Fire Alarm,11/09/2015 10:51:00 PM +0000,47.652108,-122.36164,"(47.652108, -122.36164)",F150128696
4416 44th Av Sw,Auto Fire Alarm,11/09/2015 08:25:00 PM +0000,47.56446,-122.388127,"(47.56446, -122.388127)",F150128645
805 S Charles St,Auto Fire Alarm,11/09/2015 04:35:00 PM +0000,47.594989,-122.322411,"(47.594989, -122.322411)",F150128569
116 Fairview Av N,Auto Fire Alarm,11/09/2015 04:00:00 PM +0000,47.618693,-122.334256,"(47.618693, -122.334256)",F150128556
3515 Woodland Park Av N,Auto Fire Alarm,11/09/2015 02:29:00 PM +0000,47.649775,-122.344031,"(47.649775, -122.344031)",F150128532
901 Fairview Av N,Auto Fire Alarm,11/09/2015 02:18:00 PM +0000,47.627324,-122.332667,"(47.627324, -122.332667)",F150128528
