Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
10360 51st Av S,Wires Down,07/08/2015 09:24:00 AM +0000,47.507709,-122.270108,"(47.507709, -122.270108)",F150075700
Sw Orchard St / Sw Myrtle St,Wires Down,07/07/2015 03:51:00 AM +0000,47.539131,-122.357259,"(47.539131, -122.357259)",F150075153
4800 Airport Way S,Wires Down,06/28/2015 01:02:00 PM +0000,47.559808,-122.32327,"(47.559808, -122.32327)",F150070857
3035 Perkins Ln W,Wires Down,06/25/2015 08:40:00 PM +0000,47.646949,-122.416187,"(47.646949, -122.416187)",F150069682
20 W Galer St,Wires Down,06/20/2015 12:21:00 AM +0000,47.632318,-122.357897,"(47.632318, -122.357897)",F150067212
2910 Rainier Av S,Wires Down,06/18/2015 08:32:00 PM +0000,47.577459,-122.297471,"(47.577459, -122.297471)",F150066721
955 20th Av,Wires Down,06/18/2015 05:53:00 PM +0000,47.610628,-122.306298,"(47.610628, -122.306298)",F150066666
821 20th Av S,Wires Down,06/11/2015 04:00:00 AM +0000,47.595592,-122.306189,"(47.595592, -122.306189)",F150063258
Nw 100th St / 14th Av Nw,Wires Down,06/10/2015 05:36:00 PM +0000,47.701536,-122.374091,"(47.701536, -122.374091)",F150063029
9021 40th Av Sw,Wires Down,06/09/2015 06:13:00 PM +0000,47.522627,-122.383164,"(47.522627, -122.383164)",F150062583
12339 23rd Av Ne,Wires Down,06/07/2015 06:52:00 PM +0000,47.717877,-122.304537,"(47.717877, -122.304537)",F150061691
918 29th Av S,Wires Down,06/02/2015 01:21:00 AM +0000,47.594372,-122.295432,"(47.594372, -122.295432)",F150059319
4046 50th Av Sw,Wires Down,05/18/2015 12:50:00 PM +0000,47.567637,-122.396138,"(47.567637, -122.396138)",F150053412
8640 Delridge Way Sw,Wires Down,05/16/2015 11:19:00 AM +0000,47.526125,-122.360472,"(47.526125, -122.360472)",F150052615
10200 1st Av Ne,Wires Down,05/15/2015 12:45:00 AM +0000,47.702577,-122.328518,"(47.702577, -122.328518)",F150052030
S Angeline St / S Columbian Way,Wires Down,05/14/2015 09:19:00 AM +0000,47.560616,-122.307875,"(47.560616, -122.307875)",F150051647
2207 12th Av S,Wires Down,05/13/2015 02:52:00 PM +0000,47.583609,-122.317302,"(47.583609, -122.317302)",F150051301
E Helen St / 28th Av E,Wires Down,04/21/2015 09:38:00 PM +0000,47.628135,-122.296758,"(47.628135, -122.296758)",F150042500
2351 10th Av E,Wires Down,04/18/2015 06:18:00 PM +0000,47.640469,-122.320061,"(47.640469, -122.320061)",F150041238
5220 40TH AV W,Wires Down,04/11/2015 09:17:00 PM +0000,47.666557,-122.409312,"(47.666557, -122.409312)",F150038692
3212 W Government Way,Wires Down,04/09/2015 09:03:00 PM +0000,47.660059,-122.398366,"(47.660059, -122.398366)",F150037922
700 S Michigan St,Wires Down,04/08/2015 08:01:00 PM +0000,47.546451,-122.325398,"(47.546451, -122.325398)",F150037504
39th Av S / S Andover St,Wires Down,04/01/2015 12:45:00 AM +0000,47.567917,-122.283973,"(47.567917, -122.283973)",F150034401
3053 10th Av W,Wires Down,03/31/2015 06:05:00 PM +0000,47.646885,-122.37042,"(47.646885, -122.37042)",F150034262
6049 52nd Av Ne,Wires Down,03/17/2015 05:48:00 PM +0000,47.672482,-122.271573,"(47.672482, -122.271573)",F150028881
5th Av S / S Jackson St,Wires Down,03/13/2015 12:16:00 AM +0000,47.599195,-122.327667,"(47.599195, -122.327667)",F150027122
7905 Detroit Av Sw,Wires Down,02/22/2015 06:09:00 AM +0000,47.531889,-122.337537,"(47.531889, -122.337537)",F150019551
E Olive Way / Bellevue Av,Wires Down,02/21/2015 05:59:00 AM +0000,47.617077,-122.32682,"(47.617077, -122.32682)",F150019228
